Experiment Name,Sample ID,Sample Type,Sample Name,Kernel Number,Weight,Volume,Density,Photo,Sample Comments,Source Seed ID,Source Row ID,Source Plant ID
15NMSP,15NMSP_bulk_001,Bulk,074 Bulk,,240.4,305,0.788196721,img-150512104155,These are the samples that will be passed through the air column separation. ,CS14-SERAT-074-OP10,,
15NMSP,15NMSP_bulk_002,Bulk,036 Bulk,,300.8,390,0.771282051,img-150512104238,These are the samples that will be passed through the air column separation. ,CS14-SERAT-036-OP10,,
15NMSP,15NMSP_bulk_003,Bulk,024 Bulk,,286.1,375,0.762933333,img-150512104701,These are the samples that will be passed through the air column separation. ,CS14-SERAT-024-OP10,,
15NMSP,15NMSP_bulk_004,Bulk,073 Bulk,,295.2,385,0.766753247,img-150512105327,These are the samples that will be passed through the air column separation. ,CS14-SERAT-073-OP10,,
15NMSP,15NMSP_bulk_005,Bulk,060 Bulk,,298.5,385,0.775324675,img-150512104445,These are the samples that will be passed through the air column separation. ,CS14-SERAT-060-OP10,,
15NMSP,15NMSP_bulk_006,Bulk,090 Bulk,,259.9,320,0.8121875,img-150512104307,These are the samples that will be passed through the air column separation. ,CS14-SERAT-090-OP10,,
15NMSP,15NMSP_bulk_007,Bulk,Sort 59.5 Bulk,,298.1,390,0.764358974,img-150512105049,These are the samples that will be passed through the air column separation. ,15RNTX_sort59.5,,
15NMSP,15NMSP_bulk_008,Bulk,Sort 57 Bulk,,297.3,400,0.74325,img-150512104802,These are the samples that will be passed through the air column separation. ,15RNTX_sort57,,
15NMSP,15NMSP_bulk_009,Bulk,Sort 55 Bulk,,297.3,425,0.699529412,img-150512104733,These are the samples that will be passed through the air column separation. ,15RNTX_sort55,,
15NMSP,15NMSP_bulk_010,Bulk,Unsort Bulk,,296.6,410,0.723414634,img-150512105420,These are the samples that will be passed through the air column separation. ,15RNTX_unsort2,,
15NMSP,15NMSP_bulk_011,Bulk,RXS non Bulk,,309.1,395,0.782531646,img-150512105451,These are the samples that will be passed through the air column separation. ,15RNMS_M6,,
15NMSP,15NMSP_bulk_012,Bulk,RXS inoc Bulk,,306.1,395,0.774936709,img-150512105011,These are the samples that will be passed through the air column separation. ,15RNMS_M2,,
15NMSP,15NMSP_bulk_013,Bulk,RXR inoc Bulk,,302.4,370,0.817297297,img-150512105352,These are the samples that will be passed through the air column separation. ,15RNMS_R2,,
15NMSP,15NMSP_bulk_014,Bulk,RXR non Bulk,,301.2,370,0.814054054,img-150512104051,These are the samples that will be passed through the air column separation. ,15RNMS_R6,,
