Sample ID,Sample Name,Separation Type,Apparatus,SG,Light Weight,Medium Weight,Heavy Weight,Light Percent,Medium Percent,Heavy Percent,Operating Factor,Separation Comments
15NMSP_bulk_001,074 Bulk,Density,Fan Air Column,,1.75,3.15,235,0.729470613,1.313047103,97.95748228,0.65 Power,
15NMSP_bulk_002,036 Bulk,Density,Fan Air Column,,1.49,3.79,295,0.496203543,1.262155322,98.24164113,0.65 Power,
15NMSP_bulk_003,024 Bulk,Density,Fan Air Column,,2.33,10,273,0.816598325,3.50471384,95.67868784,0.65 Power,
15NMSP_bulk_004,073 Bulk,Density,Fan Air Column,,2.55,9.11,283,0.865404195,3.091698907,96.0428969,0.65 Power,
15NMSP_bulk_005,060 Bulk,Density,Fan Air Column,,2.86,4.42,291,0.958830629,1.481829154,97.55934022,0.65 Power,
15NMSP_bulk_006,090 Bulk,Density,Fan Air Column,,0.853,3.13,256,0.328098376,1.203924872,98.46797675,0.65 Power,
15NMSP_bulk_007,Sort 59.5 Bulk,Density,Fan Air Column,,2.01,16.5,280,0.673344277,5.527453017,93.79920271,0.65 Power,
15NMSP_bulk_008,Sort 57 Bulk,Density,Fan Air Column,,2.53,45.7,249,0.851192679,15.37529859,83.77350873,0.65 Power,
15NMSP_bulk_009,Sort 55 Bulk,Density,Fan Air Column,,5.02,50.3,242,1.688416521,16.917799,81.39378447,0.65 Power,
15NMSP_bulk_010,Unsort Bulk,Density,Fan Air Column,,2.79,30.4,262,0.945153969,10.29845184,88.75639419,0.65 Power,
15NMSP_bulk_011,RXS non Bulk,Density,Fan Air Column,,3.21,9.32,296,1.040417463,3.020775938,95.9388066,0.65 Power,
15NMSP_bulk_012,RXS inoc Bulk,Density,Fan Air Column,,1.37,9.68,295,0.447639275,3.162881882,96.38947884,0.65 Power,
15NMSP_bulk_013,RXR inoc Bulk,Density,Fan Air Column,,1.12,10.2,291,0.370468378,3.373908441,96.25562318,0.65 Power,
15NMSP_bulk_014,RXR non Bulk,Density,Fan Air Column,,2.33,12.4,287,0.772213568,4.109634441,95.11815199,0.65 Power,
15NMSP_bulk_015,SXS inoc Bulk,Density,Fan Air Column,,1.7,11.1,288,0.565159574,3.690159574,95.74468085,0.65 Power,
15NMSP_bulk_016,SXS non Bulk,Density,Fan Air Column,,1.52,16.1,281,0.509008104,5.391467417,94.09952448,0.65 Power,
